       	       	exactly                            	          	      	       	           
2,3-   	       	notating                           	smallest  	      	       	           
free   	       	JI                                 	symbol    	      	Scala  	Scala      
class  	       	symbol                             	subset    	N2D3P9	archive	archive    
name   	N2D3P9 	classes                            	indices   	rank  	rank   	occurrences
35/17  	 93.657	                                   	          	92    	123.5  	9          
85/7   	 93.657	                                   	          	92    	-      	0          
119/5  	 93.657	                                   	          	92    	217.5  	4          
125/13 	 97.801	  ,)/|                             	6         	94    	604.5  	1          
175/11 	 98.032	                                   	          	95.5  	102.5  	11         
275/7  	 98.032	   ,/|\     `(|)                   	6, 6      	95.5  	147    	7          
425/1  	100.347	                                   	          	97    	329    	2          
169/5  	101.713	                                   	          	98    	329    	2          
121/25 	102.701	                                   	          	99    	217.5  	4          
43/1   	102.722	                                   	          	100   	58     	29         
161/1  	102.861	                                   	          	101   	604.5  	1          
221/1  	104.361	                                   	          	102   	252.5  	3          
1375/1 	105.035	                                   	          	103   	-      	0          
4375/1 	106.337	  `'/|                             	6         	104   	147    	7          
23/11  	107.759	  `.~|(    ,.(|(                   	6, 6      	105   	63     	27         
29/7   	109.019	                                   	          	106   	83     	15         
209/1  	110.306	                                   	          	107   	604.5  	1          
19/17  	113.648	                                   	          	108   	72     	23         
637/1  	115.014	                                   	          	109   	604.5  	1          
2401/1 	116.715	                                   	          	110   	79.5   	19         
145/1  	116.806	                                   	          	111   	-      	0          
35/19  	116.991	                                   	          	113   	164    	6          
95/7   	116.991	                                   	          	113   	604.5  	1          
133/5  	116.991	                                   	          	113   	604.5  	1          
77/13  	120.491	                                   	          	116   	134.5  	8          
91/11  	120.491	    `|\    `'/|\    ,.(|)          	6, 6, 6   	116   	217.5  	4          
143/7  	120.491	   `~|(                            	6         	116   	123.5  	9          
25/23  	122.454	                                   	          	118   	164    	6          
47/1   	122.722	                                   	          	119   	51     	37         
31/7   	124.574	                                   	          	120   	113    	10         
475/1  	125.347	                                   	          	121   	94.5   	12         
37/5   	126.759	                                   	          	122   	70     	24         
23/13  	127.352	                                   	          	123   	63     	27         
65/49  	127.793	                                   	          	124   	329    	2          
715/1  	129.097	                                   	          	125   	186.5  	5          
847/1  	129.403	                                   	          	126   	113    	10         
29/25  	129.784	                                   	          	127   	113    	10         
247/1  	130.361	                                   	          	128   	604.5  	1          
49/17  	131.120	 ,'//|                             	6         	129   	329    	2          
155/1  	133.472	                                   	          	130   	604.5  	1          
15625/1	135.634	                                   	          	131   	63     	27         
289/1  	136.472	                                   	          	132   	252.5  	3          
175/13 	136.921	                                   	          	133.5 	604.5  	1          
325/7  	136.921	                                   	          	133.5 	-      	0          
245/11 	137.245	                                   	          	135.5 	113    	10         
539/5  	137.245	                                   	          	135.5 	604.5  	1          
595/1  	140.486	  ,)/|\   ``)/|\                   	6, 6      	137   	-      	0          
169/7  	142.398	                                   	          	138   	-      	0          
143/25 	143.441	                                   	          	139   	329    	2          
121/35 	143.781	                                   	          	140   	102.5  	11         
1625/1 	146.701	                                   	          	141   	-      	0          
1925/1 	147.049	                                   	          	142   	604.5  	1          
55/17  	147.176	                                   	          	144   	329    	2          
85/11  	147.176	   ,)|)     `/|\     ,(|)          	6, 6, 6   	144   	186.5  	5          
187/5  	147.176	                                   	          	144   	217.5  	4          
31/25  	148.302	                                   	          	146   	604.5  	1          
6125/1 	148.872	                                   	          	147   	164    	6          
845/1  	152.569	                                   	          	148   	604.5  	1          
343/125	154.385	                                   	          	149   	102.5  	11         
41/5   	155.648	                                   	          	150   	164    	6          
53/1   	156.056	                                   	          	151   	74     	22         
119/25 	156.096	                                   	          	152   	-      	0          
